iter	RMSE
0	1280.097581
1	1226.320438
2	1176.920251
3	1128.895761
4	1085.325522
5	1043.142146
6	1007.015534
7	972.2768769
8	939.3340648
9	909.1979186
10	881.0449874
11	854.5842744
12	831.1288421313	809.2264572
14	788.7375851515	769.8224791616	752.4681814
17	736.7676306
18	723.100248
19	708.9987641220	696.4501715221	685.6209178222	675.3166474223	666.3365482224	657.7608151225	649.942095
26	642.6905344
27	635.6668304
28	629.8929993
29	624.4450816
30	619.4879528
31	614.8448896
32	610.7421612
33	606.5388816
34	603.1529968
35	599.4058119
36	596.5898435
37	593.4055975
38	590.947801
39	588.6021064
40	586.3573778
41	584.4518655
42	582.5998169
43	580.9318014
44	579.488214
45	578.023184
46	576.9556119
47	575.7558158
48	574.3982418
49	573.2228436
50	572.0541179
51	571.2501151
52	570.3439753
53	569.4716997
54	568.8029208
55	568.0723337
56	567.4142566
57	566.8005368
58	566.2925151
59	565.7672962
60	565.201036
661	562.8196842662	562.3447782663	561.8508252664	561.4760603665	560.974666	566	560.661567	567	560.244668	568	559.842869	569	559.469270	570	559.113171	557.09059
72	556.7179236
73	556.4646628
74	556.1173389
75	555.873431
76	555.7025355
77	555.4940825
78	555.3175998
79	555.0552911
80	554.837395
81	554.6570939
82	554.474392
83	554.1507053
84	553.8955867
85	553.7347535
86	553.4943817
87	553.250223
88	553.0359855
89	552.9242301
90	552.5459029
91	552.4453814
92	552.3375891
93	552.293	553.94	552.094	553.95	551.895	553.96	96	5596	552.97	97	5597	552.79398	5598	552.9999	55199	552.42100	55100	552.1101	551101	552.1102	551102	552.1103	550103	551.1104	550104	551.1105	550105	551.5317888
106	551.107	550.107	551.108	550.1678786
109	549.8101157
110	549.7347634
111	549.4847656
112	549.2536478
113	549.1428274
114	549.0121185
115	548.115	550.116	548.116	550.1326132
117	549.8572086
118	549.8282799
119	549.120	548.120	549.3982154
121	549122	547.9480436
123	547.7555611
124	547.4124	548125	547.3125	54126	547.21126	54127	546.93127	54128	546.78128	54129	546.5825001
130	546.3244025
131	546.2948315
132	546.1811794
133	546.1211401
134	546.0017045
135	545.8546601
136	545.7396338
137	545.7086595
138	545.5784044
139	545.3108858
140	545.2576599
141	545.1913767
142	545.1594368
143	544.9689054
144	544.7712559
145	544.6074773
146	544.5115404
147	544.3133801
148	544.2096272
149	544.1033389
150	543.9944297
151	543.942882
152	543.8239997
153	543.7239885
154	543.4397294
155	543.2523072
156	543.1142514
157	542.8476763
158	542.7339623
159	542.7161054
160	542.5527027
161	542.4797304
162	542.1963665
163	542.0946765
164	541.9849833
165	541.8265326
166	541.6536635
167	541.5790414
168	541.4324209
169	541.3941078
170	541.3364509
171	540.9224901
172	540.8644779
173	540.754601
174	540.6657474
175	540.422952
176	540.402564
177	540.2726513
178	540.0703632
179	539.7884035
180	539.5276876
181	539.423591
182	539.3309202
183	539.169536
184	539.0008235
185	538.919046
186	538.8770891
