iter	Passed	Remaining
0	149	149436
1	152	76329
2	163	54171
3	173	43089
4	178	35547
5	184	30504
6	193	27410
7	201	24956
8	210	23192
9	218	21631
10	223	20123
11	230	19001
12	237	18069
13	246	17368
14	252	16562
15	258	15892
16	272	15771
17	281	15353
18	290	15021
19	297	14562
20	302	14096
21	308	13725
22	318	13530
23	326	13273
24	334	13045
25	344	12901
26	357	12870
27	370	12857
28	380	12747
29	391	12644
30	400	12505
31	408	12359
32	421	12339
33	430	12222
34	439	12122
35	444	11914
36	454	11827
37	461	11674
38	469	11557
39	473	11371
40	482	11293
41	489	11174
42	494	11011
43	504	10968
44	511	10851
45	517	10734
46	525	10663
47	534	10602
48	539	10476
49	544	10337
50	551	10261
51	556	10148
52	567	10148
53	578	10136
54	584	10047
55	594	10015
56	601	9959
57	606	9858	58	616	9836
59	626	9807
60	630	9761	637	9648
62	647	9629
63	652	9547
64	661	9514
65	669	9471
66	678	9449
67	685	9398
68	693	9359
69	702	9338
70	708	9273
7171	748	9647272	755	9597373	764	9561
74	770	9507575	778	9467676	785	9417777	790	9337878	804	9383
79	814	9366
80	826	9378
81	839	9396
82	847	9362
83	853	9304
84	857	9233
85	863	9174
86	868	9109
87	877	9095
88	883	9039
89	891	9010
90	899	8985
91	905	8939292	912	88993	889	894	994	900	895	995	908	896	996	916	897	997	926	898	998	933	899	999	940	8100	100	947	8101	101	958	8102	102	964	8103	103	974	8104	104	982	8105	105	994	8390
106	1002	8366
107	1011	8353
108	108	1045	8109	109	1057	8553
110	1061	8111	111	1071	8112	112	1081	8113	113	1090	8114	114	1098	8115	1075	8199
116	1084	8186
117	1094	8179
118	1099	8142
119	1106	8113
120	1113	8090
121	1121	8070
122	122	1154	8123	123	1164	8124	1144	8014
125	1154	8006
126	1159	7972
127	1172	7989
128	1177	7953
129	129	1221	8171
130	1226	8131	131	1232	8132	132	1240	8133	133	1251	8087
134	1259	8071
135	1266	8043
136	1275	8035
137	1284	8020
138	1292	8004
139	1298	7975
140	1310	7986
141	1319	7970
142	1326	7947
143	1333	7928
144	1344	7928
145	1351	7905
146	1358	7880
147	1371	7893
148	1379	7876
149	1383	7838
150	1391	7823
151	1402	7825
152	1415	7835
153	1424	7827
154	1435	7823
155	1443	7808
156	1453	7805
157	1462	7792
158	1471	7784
159	1483	7787
160	1488	7755
161	1495	7737
162	1500	7703
163	1505	7672
164	1514	7662
165	1519	7636
166	1528	7623
167	1536	7608
168	1541	7580
169	1550	7568
170	1557	7552
171	1561	7518
172	1568	7498
173	1572	7465
174	1583	7462
175	1591	7453
176	1601	7446
177	1610	7436
178	1622	7440
179	1631	7431
180	1639	7420
181	1651	7423
182	1660	7413
183	1668	7398
184	1678	7396
185	1687	7383
186	1700	7391
187	1702	7354
188	1712	7348
189	1718	7327
190	1723	7301
191	1733	7293
192	1737	7266
193	1751	7275
194	1757	7256
195	1764	7238
196	1771	7220
197	1777	7198
198	1785	7186
199	1793	7172
200	1803	7169
201	1815	7172
202	1822	7155
203	1831	7146
204	1842	7144
205	1848	7123
206	1853	7101
207	1864	7100
208	1873	7091
209	1879	7069
210	1887	7058
211	1898	7055
212	1908	7049
213	1913	7028
214	1922	7018
215	1928	6998
216	1934	6979
217	1942	6967
218	1950	6956
219	1960	6949
220	1970	6945
221	1982	6948
222	1988	6927
223	1994	6909
224	2002	6896
225	2006	6872
226	2012	6851
227	2019	6839
228	2029	6831
229	2040	6831
230	2043	6802
231	2054	6802
232	2065	6797
233	2076	6797
234	2086	6793
235	2095	6784
236	2101	6766
237	2111	6759
238	2118	6746
239	2126	6735
240	2131	6712
241	2145	6719
242	2157	6721
243	2164	6707
244	2175	6703
245	2184	6696
246	2195	6693
247	2207	6692
248	2213	6675
249	2217	6651
250	2226	6645
251	2236	6638
252	2244	6627
253	2258	6632
254	2266	6620
255	2277	6620
256	2287	6613
257	2291	6590
258	2301	6583
259	2308	6569
260	2316	6558
261	2327	6557
262	2333	6538
263	2342	6529
264	2351	6521
265	2359	6510
266	2367	6498
267	2378	6495
268	2384	6479
269	2392	6469
270	2400	6456
271	2408	6447
272	2416	6434
273	2420	6413
274	2432	6412
275	2436	6391
276	2449	6393
277	2456	6378
278	2466	6374
279	2474	6361
280	2479	6344
281	2487	6334
282	2498	6328
283	2508	6323
284	2514	6308
285	2522	6297
286	2531	6290
287	2541	6283
288	2548	6270
289	2555	6256
290	2564	6248
291	2570	6232
292	2577	6219
293	2586	6210
294	2591	6193
295	2594	6170
296	2600	6154
297	2609	6146
298	2615	6131
299	2624	6124
300	2634	6117
301	2644	6111
302	2652	6101
303	2665	6101
304	2673	6091
305	2681	6082
306	2693	6080
307	2703	6075
308	2712	6065
309	2720	6054
310	2726	6041
311	2732	6024
312	2739	6012
313	2744	5996
314	2752	5985
